https://www.multpl.com/us-gdp-inflation-adjusted/table/by-quarter
https://apps.bea.gov/iTable/iTable.cfm?reqid=19&step=2#reqid=19&step=2&isuri=1&1921=survey
Table 1.1.6. Real Gross Domestic Product, Chained Dollars
[Billions of chained (2012) dollars] Seasonally adjusted at annual rates
Date	Value
Mar 31, 1985	7.83 trillion
Dec 31, 1984	7.75 trillion
Sep 30, 1984	7.69 trillion
Jun 30, 1984	7.62 trillion
Mar 31, 1984	7.49 trillion
Dec 31, 1983	7.34 trillion
Sep 30, 1983	7.19 trillion
Jun 30, 1983	7.05 trillion
Mar 31, 1983	6.90 trillion
Dec 31, 1982	6.81 trillion
Sep 30, 1982	6.80 trillion
Jun 30, 1982	6.83 trillion
Mar 31, 1982	6.80 trillion
Dec 31, 1981	6.91 trillion
Sep 30, 1981	6.98 trillion
Jun 30, 1981	6.90 trillion
Mar 31, 1981	6.95 trillion
Dec 31, 1980	6.82 trillion
Sep 30, 1980	6.69 trillion
Jun 30, 1980	6.70 trillion
Mar 31, 1980	6.84 trillion
Dec 31, 1979	6.82 trillion
Sep 30, 1979	6.80 trillion
Jun 30, 1979	6.75 trillion
Mar 31, 1979	6.75 trillion
Dec 31, 1978	6.73 trillion
Sep 30, 1978	6.64 trillion
Jun 30, 1978	6.58 trillion
Mar 31, 1978	6.33 trillion
Dec 31, 1977	6.31 trillion
Sep 30, 1977	6.31 trillion
Jun 30, 1977	6.20 trillion
Mar 31, 1977	6.08 trillion
Dec 31, 1976	6.01 trillion
Sep 30, 1976	5.97 trillion
Jun 30, 1976	5.94 trillion
Mar 31, 1976	5.89 trillion
Dec 31, 1975	5.76 trillion
Sep 30, 1975	5.69 trillion
Jun 30, 1975	5.59 trillion
Mar 31, 1975	5.55 trillion
Dec 31, 1974	5.62 trillion
Sep 30, 1974	5.64 trillion
Jun 30, 1974	5.70 trillion
Mar 31, 1974	5.68 trillion
Dec 31, 1973	5.73 trillion
Sep 30, 1973	5.68 trillion
Jun 30, 1973	5.71 trillion
Mar 31, 1973	5.65 trillion
Dec 31, 1972	5.51 trillion
Sep 30, 1972	5.42 trillion
Jun 30, 1972	5.37 trillion
Mar 31, 1972	5.25 trillion
Dec 31, 1971	5.15 trillion
Sep 30, 1971	5.14 trillion
Jun 30, 1971	5.10 trillion
Mar 31, 1971	5.07 trillion
Dec 31, 1970	4.94 trillion
Sep 30, 1970	4.99 trillion
Jun 30, 1970	4.95 trillion
Mar 31, 1970	4.94 trillion
